pair_idx,reconstruction_error,parameter_distance,smoothness_ratio,predicted_discontinuities,ground_truth_discontinuities
0,0.8550676107406616,13.080979347229004,1.6608261,2,297
1,0.4658999443054199,7.618980407714844,1.2612032,1,279
2,0.5261488556861877,10.368331909179688,1.4055206,1,261
3,0.7265931963920593,12.276315689086914,1.5355473,3,288
4,0.8334344029426575,10.902512550354004,1.5279393,2,324
5,1.1140494346618652,14.547053337097168,1.5460249,1,297
6,0.6565503478050232,12.622071266174316,1.6412059,3,306
7,0.680751621723175,11.144840240478516,1.3764827,2,225
8,0.5929961800575256,10.452818870544434,1.482127,3,333
