case_id,type,description,mae,mse,max_error,num_problematic_params
0,boundary,polyphony = 0.0000,0.29596492648124695,0.13412339985370636,0.8927512764930725,7
1,boundary,polyphony = 1.0000,0.3072859048843384,0.147767573595047,0.9992852210998535,7
2,boundary,polyphony = -0.6554,0.30852290987968445,0.14212772250175476,0.8923871517181396,7
3,boundary,polyphony = 1.5177,0.32506024837493896,0.17268627882003784,1.5176568031311035,7
4,boundary,polyphony = -0.6554,0.30301952362060547,0.13938836753368378,0.8933066725730896,7
5,boundary,polyphony = 1.5177,0.322346955537796,0.17156824469566345,1.5174589157104492,7
6,boundary,note_trigger_mode = 0.0000,0.3031052350997925,0.1410755068063736,0.8921260237693787,7
7,boundary,note_trigger_mode = 1.0000,0.3118531107902527,0.1526382714509964,0.9994186162948608,7
8,boundary,note_trigger_mode = -0.3236,0.3064523935317993,0.14213070273399353,0.8923884630203247,7
9,boundary,note_trigger_mode = 3.0740,0.3457028567790985,0.28064680099487305,3.073726177215576,7
10,boundary,note_trigger_mode = -0.3236,0.30967819690704346,0.14213503897190094,0.8925769925117493,7
11,boundary,note_trigger_mode = 3.0740,0.3499777019023895,0.28410667181015015,3.0739870071411133,7
12,boundary,master_volume = 0.0000,0.29915228486061096,0.13942858576774597,0.8937278389930725,7
13,boundary,master_volume = 1.0000,0.32062461972236633,0.15753017365932465,0.9998056292533875,7
14,boundary,master_volume = -1.8901,0.3371145725250244,0.19919371604919434,1.890846848487854,7
15,boundary,master_volume = 3.1486,0.35219472646713257,0.2919773459434509,3.148428201675415,7
16,boundary,master_volume = -1.9804,0.3291429579257965,0.19642527401447296,1.9812144041061401,7
17,boundary,master_volume = 3.5460,0.35734128952026367,0.33156660199165344,3.545632839202881,7
18,boundary,mod_wheel = 0.0000,0.2988954186439514,0.13722342252731323,0.893163800239563,7
19,boundary,mod_wheel = 1.0000,0.31243696808815,0.14978349208831787,0.9996970891952515,7
20,boundary,mod_wheel = -0.4607,0.30900731682777405,0.1430824100971222,0.8923568725585938,7
21,boundary,mod_wheel = 3.1095,0.3441890776157379,0.2829791009426117,3.109466075897217,7
22,boundary,mod_wheel = -0.4607,0.30847877264022827,0.14349964261054993,0.8922058939933777,7
23,boundary,mod_wheel = 3.1095,0.3432409465312958,0.28251969814300537,3.1090893745422363,7
24,boundary,arp_enable = 0.0000,0.30227991938591003,0.1400938779115677,0.8924053907394409,7
25,boundary,arp_enable = 1.0000,0.31714916229248047,0.15457937121391296,0.9999645948410034,7
26,boundary,arp_enable = -0.3983,0.31004130840301514,0.1430378407239914,0.8928114175796509,7
27,boundary,arp_enable = 2.4972,0.3399447202682495,0.23435892164707184,2.4971253871917725,7
28,boundary,arp_enable = -0.3983,0.3018938899040222,0.13704714179039001,0.8941279053688049,7
29,boundary,arp_enable = 2.4972,0.33622416853904724,0.23140572011470795,2.497110366821289,7
30,boundary,arp_range = 0.0000,0.28883031010627747,0.12702421844005585,0.8949015140533447,7
31,boundary,arp_range = 1.0000,0.3042192757129669,0.1431870013475418,0.9993246793746948,7
32,boundary,arp_range = -0.7888,0.3075965642929077,0.14283093810081482,0.8922609686851501,7
33,boundary,arp_range = 2.9382,0.33371782302856445,0.25990909337997437,2.93700909614563,7
34,boundary,arp_range = -0.7888,0.3073430061340332,0.14209488034248352,0.8929162621498108,7
35,boundary,arp_range = 2.9382,0.3397943675518036,0.26290738582611084,2.9373931884765625,7
36,boundary,arp_rate = 0.0000,0.30460673570632935,0.14172673225402832,0.8925759196281433,7
37,boundary,arp_rate = 1.0000,0.31813764572143555,0.15128394961357117,0.8995848894119263,7
38,boundary,arp_rate = -3.8881,0.3674805164337158,0.3777570128440857,3.9325473308563232,7
39,boundary,arp_rate = 4.0562,0.3617306351661682,0.377666175365448,3.9852702617645264,7
40,boundary,arp_rate = -3.8881,0.36606138944625854,0.3786676824092865,3.9557042121887207,7
41,boundary,arp_rate = 4.0562,0.36457663774490356,0.38330551981925964,3.9981327056884766,7
42,boundary,arp_mode = 0.0000,0.3009287416934967,0.14006772637367249,0.8936744332313538,7
43,boundary,arp_mode = 1.0000,0.323948472738266,0.15827785432338715,0.9999037981033325,7
44,boundary,arp_mode = -0.9684,0.31980007886886597,0.15504679083824158,0.9689996242523193,7
45,boundary,arp_mode = 1.0727,0.3169264793395996,0.15691731870174408,1.0720690488815308,7
46,boundary,arp_mode = -0.9684,0.3110460937023163,0.15195146203041077,0.9688701033592224,7
47,boundary,arp_mode = 1.0727,0.32182368636131287,0.15915711224079132,1.072540283203125,7
48,boundary,glide_rate = 0.0000,0.2958745062351227,0.13808795809745789,0.892805278301239,7
49,boundary,glide_rate = 1.0000,0.31521663069725037,0.1548692137002945,0.999711811542511,7
50,boundary,glide_rate = -0.3899,0.3035184144973755,0.13817590475082397,0.8928083777427673,7
51,boundary,glide_rate = 3.0646,0.34416088461875916,0.2796038091182709,3.0643270015716553,7
52,boundary,glide_rate = -0.3899,0.3006122410297394,0.1382039338350296,0.8948922753334045,7
53,boundary,glide_rate = 3.2735,0.3472714424133301,0.2989089787006378,3.273369073867798,7
54,boundary,pitch_bend_range = 0.0000,0.30773282051086426,0.14299003779888153,0.8924077749252319,7
55,boundary,pitch_bend_range = 1.0000,0.31890949606895447,0.15658064186573029,0.9996596574783325,7
56,boundary,pitch_bend_range = -0.1162,0.3058049976825714,0.14074915647506714,0.8931049108505249,7
57,boundary,pitch_bend_range = -0.1162,0.3034682273864746,0.13817575573921204,0.8939442038536072,7
58,boundary,pitch_bend_range = -0.1162,0.303804874420166,0.13821427524089813,0.8945390582084656,7
59,boundary,pitch_bend_range = 9.4323,0.4377513527870178,1.480683445930481,9.43185043334961,7
60,boundary,tuning = 0.0000,0.3107215464115143,0.14380209147930145,0.8922807574272156,7
61,boundary,tuning = 1.0000,0.32108041644096375,0.15655778348445892,0.9454413652420044,7
62,boundary,tuning = -3.6824,0.36198991537094116,0.357687383890152,3.798002004623413,7
63,boundary,tuning = 0.2018,0.30679208040237427,0.14108067750930786,0.8925941586494446,7
64,boundary,tuning = -6.2718,0.40517476201057434,0.7464964985847473,6.307994842529297,7
65,boundary,tuning = 3.8353,0.3671048581600189,0.35666370391845703,3.7457504272460938,7
66,boundary,unison = 0.0000,0.30348530411720276,0.14015039801597595,0.8923537731170654,7
67,boundary,unison = 1.0000,0.3127220571041107,0.1517951339483261,0.9995166659355164,7
68,boundary,unison = -0.4266,0.30971699953079224,0.14193549752235413,0.8922045230865479,7
69,boundary,unison = 3.2262,0.3427703380584717,0.29197070002555847,3.225797176361084,7
70,boundary,unison = -0.4266,0.30761075019836426,0.14283476769924164,0.892386257648468,7
71,boundary,unison = 3.2555,0.3481007218360901,0.2976371645927429,3.2552247047424316,7
72,boundary,amp_env_attack = 0.0000,0.3011340796947479,0.13937373459339142,0.892227828502655,7
73,boundary,amp_env_attack = 1.0000,0.3138015568256378,0.15392357110977173,0.9998887181282043,7
74,boundary,amp_env_attack = -0.8385,0.312850683927536,0.14807692170143127,0.892559289932251,7
75,boundary,amp_env_attack = 2.3603,0.33333396911621094,0.22233305871486664,2.3601410388946533,7
76,boundary,amp_env_attack = -0.8385,0.3091610372066498,0.14574262499809265,0.8986443877220154,7
77,boundary,amp_env_attack = 2.6197,0.34094783663749695,0.2420557290315628,2.619051456451416,7
78,boundary,amp_env_decay = 0.0000,0.3014606237411499,0.13903459906578064,0.8928238749504089,7
79,boundary,amp_env_decay = 1.0000,0.3140462636947632,0.15146487951278687,0.9997920393943787,7
80,boundary,amp_env_decay = -1.7437,0.32959553599357605,0.1861821562051773,1.7437776327133179,7
81,boundary,amp_env_decay = 2.7743,0.3442319631576538,0.25697609782218933,2.774204969406128,7
82,boundary,amp_env_decay = -2.2513,0.33658191561698914,0.2157694697380066,2.2516257762908936,7
83,boundary,amp_env_decay = 2.8759,0.3457513749599457,0.2662650942802429,2.8757858276367188,7
84,boundary,amp_env_sustain = 0.0000,0.30112844705581665,0.13634349405765533,0.8939340114593506,7
85,boundary,amp_env_sustain = 1.0000,0.31394803524017334,0.15172232687473297,0.9704424142837524,7
86,boundary,amp_env_sustain = -2.0617,0.3259921073913574,0.2025727480649948,2.106290578842163,7
87,boundary,amp_env_sustain = 0.5717,0.3018661141395569,0.13599234819412231,0.8954412341117859,7
88,boundary,amp_env_sustain = -2.0617,0.32799673080444336,0.2033471167087555,2.0914740562438965,7
89,boundary,amp_env_sustain = 0.5717,0.30544689297676086,0.13774152100086212,0.8923769593238831,7
90,boundary,amp_env_release = 0.0000,0.3091575503349304,0.14270161092281342,0.8921351432800293,7
91,boundary,amp_env_release = 1.0000,0.3204661011695862,0.15742310881614685,0.996482789516449,7
92,boundary,amp_env_release = -1.6897,0.33231833577156067,0.18515785038471222,1.6982994079589844,7
93,boundary,amp_env_release = 1.6434,0.3303224444389343,0.17854103446006775,1.6085550785064697,7
94,boundary,amp_env_release = -1.6897,0.33074456453323364,0.1848604530096054,1.692623496055603,7
95,boundary,amp_env_release = 2.8293,0.3534707725048065,0.2644009292125702,2.819854497909546,7
96,boundary,amp_env_velocity = 0.0000,0.31072917580604553,0.14474532008171082,0.8922941088676453,7
97,boundary,amp_env_velocity = 1.0000,0.3168957829475403,0.155422180891037,0.9999256730079651,7
98,boundary,amp_env_velocity = -0.2038,0.30296197533607483,0.1395784169435501,0.8936391472816467,7
99,boundary,amp_env_velocity = 5.7361,0.3862762153148651,0.6379743218421936,5.7353363037109375,7
100,boundary,amp_env_velocity = -0.2038,0.3083624541759491,0.1424911469221115,0.8923648595809937,7
101,boundary,amp_env_velocity = 7.0844,0.4112848937511444,0.9016643166542053,7.084251880645752,7
102,boundary,filter_env_attack = 0.0000,0.3021259009838104,0.13978976011276245,0.8924388885498047,7
103,boundary,filter_env_attack = 1.0000,0.3167882561683655,0.15516552329063416,0.9998167157173157,7
104,boundary,filter_env_attack = -0.5518,0.30973708629608154,0.14454421401023865,0.892766535282135,7
105,boundary,filter_env_attack = 3.3951,0.3548983335494995,0.313798725605011,3.395037889480591,7
106,boundary,filter_env_attack = -0.5518,0.30621784925460815,0.13969561457633972,0.8931219577789307,7
107,boundary,filter_env_attack = 3.5377,0.3536939322948456,0.3275776207447052,3.537414312362671,7
108,boundary,filter_env_decay = 0.0000,0.3017119765281677,0.13958337903022766,0.8932124376296997,7
109,boundary,filter_env_decay = 1.0000,0.32381370663642883,0.15735647082328796,0.9999973773956299,7
110,boundary,filter_env_decay = -2.4801,0.33652812242507935,0.23242677748203278,2.4801559448242188,7
111,boundary,filter_env_decay = 3.1154,0.34774649143218994,0.2868841290473938,3.115370273590088,7
112,boundary,filter_env_decay = -2.6283,0.341748982667923,0.24537378549575806,2.628345251083374,7
113,boundary,filter_env_decay = 3.1154,0.34948664903640747,0.28656506538391113,3.1153793334960938,7
114,boundary,filter_env_sustain = 0.0000,0.3012736141681671,0.1405901461839676,0.8922895789146423,7
115,boundary,filter_env_sustain = 1.0000,0.3181423246860504,0.15626975893974304,0.9999575614929199,7
116,boundary,filter_env_sustain = -0.3621,0.30874475836753845,0.1431778520345688,0.8922020196914673,7
117,boundary,filter_env_sustain = 5.6068,0.38371357321739197,0.613697350025177,5.606510162353516,7
118,boundary,filter_env_sustain = -0.3621,0.30760902166366577,0.14280162751674652,0.8923488259315491,7
119,boundary,filter_env_sustain = 5.6068,0.3786746859550476,0.6095661520957947,5.606560707092285,7
120,boundary,filter_env_release = 0.0000,0.3004046678543091,0.13662053644657135,0.894900918006897,7
121,boundary,filter_env_release = 1.0000,0.32431021332740784,0.15857967734336853,0.9998552203178406,7
122,boundary,filter_env_release = -3.3153,0.3542053997516632,0.3071930706501007,3.316647529602051,7
123,boundary,filter_env_release = 2.9538,0.3486391603946686,0.2729713022708893,2.951972723007202,7
124,boundary,filter_env_release = -3.3153,0.3561817705631256,0.30945348739624023,3.3164777755737305,7
125,boundary,filter_env_release = 2.9538,0.34781181812286377,0.2717701494693756,2.9528160095214844,7
126,boundary,filter_env_velocity = 0.0000,0.29944828152656555,0.13819505274295807,0.8937403559684753,7
127,boundary,filter_env_velocity = 1.0000,0.3132396340370178,0.15052571892738342,0.9445661902427673,7
128,boundary,filter_env_velocity = -1.5579,0.3268265724182129,0.1796479970216751,1.649646520614624,7
129,boundary,filter_env_velocity = 2.3451,0.33592489361763,0.21618185937404633,2.2365880012512207,7
130,boundary,filter_env_velocity = -1.5579,0.32490140199661255,0.17948351800441742,1.639966607093811,7
131,boundary,filter_env_velocity = 2.3451,0.33764174580574036,0.2155655026435852,2.2175955772399902,7
132,boundary,filter_lfo_amt = 0.0000,0.3002038896083832,0.13898436725139618,0.893063485622406,7
133,boundary,filter_lfo_amt = 1.0000,0.3142848014831543,0.1526561826467514,0.999783992767334,7
134,boundary,filter_lfo_amt = -0.5164,0.31135714054107666,0.14428438246250153,0.8925936818122864,7
135,boundary,filter_lfo_amt = 3.2454,0.34611693024635315,0.29735326766967773,3.2453315258026123,7
136,boundary,filter_lfo_amt = -1.5373,0.3248663544654846,0.1731749176979065,1.5374406576156616,7
137,boundary,filter_lfo_amt = 3.5670,0.354641854763031,0.33164870738983154,3.5666844844818115,7
138,boundary,pitch_mod = 0.0000,0.30681177973747253,0.1421346217393875,0.8926936388015747,7
139,boundary,pitch_mod = 1.0000,0.318017840385437,0.15540766716003418,0.9988645911216736,7
140,boundary,pitch_mod = -1.3870,0.32543033361434937,0.17120561003684998,1.3884018659591675,7
141,boundary,pitch_mod = 3.1081,0.3579581379890442,0.28964683413505554,3.1076908111572266,7
142,boundary,pitch_mod = -5.5010,0.3874662220478058,0.5984417200088501,5.501316070556641,7
143,boundary,pitch_mod = 5.3592,0.3907959461212158,0.5791499614715576,5.358574390411377,7
144,boundary,pitch_mod_source = 0.0000,0.31006595492362976,0.14324384927749634,0.8922877907752991,7
145,boundary,pitch_mod_source = 1.0000,0.31859341263771057,0.15287718176841736,0.8921926617622375,7
146,boundary,pitch_mod_source = -2.7479,0.3462734818458557,0.27474188804626465,3.005162477493286,7
147,boundary,pitch_mod_source = 0.3620,0.30028170347213745,0.13294173777103424,0.8983796238899231,7
148,boundary,pitch_mod_source = -2.7479,0.350614458322525,0.274216890335083,2.950812339782715,7
149,boundary,pitch_mod_source = 0.3620,0.304798424243927,0.14136697351932526,0.8924069404602051,7
150,boundary,osc1_shape_mod = 0.0000,0.30813896656036377,0.14317774772644043,0.8921152949333191,7
151,boundary,osc1_shape_mod = 1.0000,0.31634777784347534,0.1549006551504135,0.9993374943733215,7
152,boundary,osc1_shape_mod = -0.2766,0.3070485293865204,0.14229333400726318,0.8925939798355103,7
153,boundary,osc1_shape_mod = 5.7435,0.3860371708869934,0.6398829221725464,5.743252754211426,7
154,boundary,osc1_shape_mod = -0.7660,0.3150538206100464,0.14991407096385956,0.8926108479499817,7
155,boundary,osc1_shape_mod = 7.1629,0.40926915407180786,0.9174591898918152,7.162806510925293,7
156,boundary,osc1_shape_mod_source = 0.0000,0.294554740190506,0.13344067335128784,0.8970292806625366,7
157,boundary,osc1_shape_mod_source = 1.0000,0.3214442729949951,0.1582406610250473,0.9999032616615295,7
158,boundary,osc1_shape_mod_source = -0.2928,0.30572667717933655,0.14039169251918793,0.8925930261611938,7
159,boundary,osc1_shape_mod_source = 3.3969,0.3566412627696991,0.31726622581481934,3.3967983722686768,7
160,boundary,osc1_shape_mod_source = -0.2928,0.30806419253349304,0.14286471903324127,0.8922356367111206,7
161,boundary,osc1_shape_mod_source = 3.3969,0.35629332065582275,0.3165920078754425,3.3967227935791016,7
162,boundary,osc2_shape_mod = 0.0000,0.2936471700668335,0.13285233080387115,0.8972287774085999,7
163,boundary,osc2_shape_mod = 1.0000,0.3138078451156616,0.1531013548374176,0.9999150037765503,7
164,boundary,osc2_shape_mod = -0.3136,0.30471593141555786,0.14035272598266602,0.8934606909751892,7
165,boundary,osc2_shape_mod = 4.7250,0.37751659750938416,0.4807661175727844,4.724980354309082,7
166,boundary,osc2_shape_mod = -0.5655,0.31033816933631897,0.14511321485042572,0.8925710320472717,7
167,boundary,osc2_shape_mod = 4.7250,0.3695703446865082,0.47681233286857605,4.724885940551758,7
168,boundary,osc2_shape_mod_source = 0.0000,0.3062966763973236,0.14263916015625,0.8923354148864746,7
169,boundary,osc2_shape_mod_source = 1.0000,0.32078757882118225,0.15641936659812927,0.9999481439590454,7
170,boundary,osc2_shape_mod_source = -0.1644,0.30312949419021606,0.13886848092079163,0.89272540807724,7
