,mae,mse,rmse,r2,correlation,correlation_p_value,error_mean,error_std,param_range,relative_mae,param_min,param_max,pred_min,pred_max
plugin_name,0.7461619973182678,0.626797080039978,0.7917051724221448,-0.4092378616333008,,,0.4266376495361328,0.6669163107872009,2.173128604888916,0.34335842728614807,-0.6553880572319031,1.5177406072616577,0.0,0.0
total_parameters,0.3235834538936615,0.10470624268054962,0.3235834400592058,-117888748879872.0,,,0.3235834538936615,2.9802322387695312e-08,0.0,inf,-0.3235834240913391,-0.3235834240913391,0.0,0.0
parameter_order,0.9311425089836121,1.516908049583435,1.2316282107776824,-0.004860877990722656,,,0.08566009998321533,1.2286456823349,4.984549522399902,0.18680575489997864,-1.8359187841415405,3.1486308574676514,0.0,0.0
schema_version,0.8079612255096436,1.3796535730361938,1.17458655408454,-0.057245731353759766,,,-0.27331823110580444,1.142344355583191,3.570281505584717,0.22630181908607483,-0.4607422947883606,3.109539270401001,0.0,0.0
notes,0.729730486869812,1.1182537078857422,1.05747515710098,-0.0031080245971679688,,,-0.058862220495939255,1.0558357238769531,2.895538330078125,0.25201892852783203,-0.39832803606987,2.4972102642059326,0.0,0.0
